entrezgene	FC	pvalue
100144522	1.251479289	0.074013655
100135040	-1.337127534	0.001590023
106504372	-1.353104113	0.016309719
100153386	-1.353104113	0.016309719
100037921	-1.341050131	0.037211152
100135050	-1.209640764	0.062327873
100141307	1.200261548	0.045290991
100520915	-7.57196213	0.035580001
100155600	2.579258333	1.54E-05
100154372	-1.571162561	0.009823831
100522018	2.055831532	0.001650203
100153820	-2.18873924	0.014157068
396980	-1.557847573	0.000103161
100151794	-1.639007202	0.000103354
100153414	1.251466779	0.02178849
100155015	1.377796008	0.030043879
100511389	1.228989917	0.031720266
100155444	-1.218024102	0.013263539
100151814	1.154659984	0.09281963
100625697	1.310816276	0.062416893
397297	1.548408471	0.002897855
100037993	-1.421193726	0.000302718
654299	1.580748863	0.050730887
100155423	1.674129245	0.043703468
100156630	1.562599108	0.019185788
100156210	3.011752748	0.002862206
100739153	-1.431782842	0.004132309
100155010	2.996444001	0.009196689
100152609	-1.170808806	0.059670612
100524814	-1.395745489	0.094933242
100157844	3.657022827	0.023494234
100154835	3.900157127	0.002746343
100152701	1.955537429	0.004620432
100157940	-1.705340108	0.004916711
100153876	-1.674185414	0.062020758
100153071	-1.702603879	0.011939148
100522688	1.651604784	0.010918529
100126290	1.801529999	0.000205701
100134967	-1.500079278	0.000751936
100157157	-1.340664322	0.008926181
100153873	-2.905193884	0.000186442
100153069	-1.313095837	0.02252846
100145892	-2.953588248	0.093897621
100157118	-1.985573285	0.000968956
100151872	-2.56775838	0.000197047
396631	1.95236351	0.005228733
396742	-3.504519055	9.81E-07
100153486	1.737084715	0.015393098
100153900	-1.213620023	0.035799121
100113410	1.432068991	0.095579462
100157774	1.545580073	0.059280604
396593	-1.601357264	0.036605715
100158176	112.289932	0.00111768
100155220	1.425695409	0.053401918
100154398	-1.70962971	0.001099595
396969	1.44759795	0.041202877
100156420	78.18958781	0.000139688
100523317	2.160870343	0.019933877
100156419	-3.595096271	0.000265435
100514527	1.477306619	0.020823612
100156882	1.928365555	0.001681925
100155631	-2.300257476	1.91E-05
100154397	-1.266763256	0.004953375
100153189	-1.163944338	0.09837051
100151986	-1.212692892	0.038221251
100155673	-1.457305398	0.041378233
100153434	1.752476642	0.078889054
100156260	-1.692184012	0.001154255
654411	-3.601306308	0.078933783
100156276	2.995667732	0.001426308
397520	4.487606604	0.000265368
100689297	-1.424456676	0.014273802
397603	1.555458927	9.98E-05
100153840	-1.148378683	0.051211444
100157865	1.46858505	0.000269305
100155465	-1.859266355	0.012009054
100153032	1.768953637	0.0015033
100513481	-1.180519313	0.056365589
100156538	1.21985577	0.062020758
100155341	1.639145424	0.006264046
100156508	-1.281720629	0.067051441
100154517	1.128705168	0.046079365
100154110	-1.492873453	0.002270354
100157336	2.271639146	0.000121351
100154899	2.454925372	0.00029514
100142664	1.893904645	9.61E-06
100158154	-1.3650905	0.003441439
100155766	1.31370113	0.033675023
100516143	-1.446906684	0.001488525
406188	1.874337956	0.000110593
100154361	1.898172918	0.000600423
497233	2.020427202	0.000771296
100152987	1.380655031	0.001430851
100154615	1.672412889	0.092625058
100157840	1.637976636	0.009560199
100153402	-1.431856045	0.005507828
100152844	-1.604691376	0.054383768
100153263	3.277168493	5.20E-05
100127160	4.321476872	0.00104967
100154880	1.943894558	0.01315634
100519262	1.554844883	0.008720934
100155296	1.189360632	0.039060575
100157703	-1.428809374	0.01739423
780415	1.421662403	0.028566389
397522	-1.413689691	0.008878884
100153238	-1.299893904	0.017297731
397572	-3.338108408	9.81E-07
100157270	1.272996079	0.026382661
403165	1.546019671	0.026792074
100157682	-1.241928219	0.02951988
396635	1.657020268	0.00020085
100155260	-1.206006217	0.022994059
100154044	-1.206006217	0.022994059
100522330	2.044279128	0.018006984
100522881	1.558099844	0.005303843
397471	-1.518227396	0.033952291
100037972	1.970424084	0.055236788
396984	1.830552752	0.003700691
100154266	1.93050162	0.084138469
100156733	-1.239378587	0.012310309
100157553	-1.316937224	0.040450039
100154146	-1.395080541	0.014807028
100153983	-2.046947222	0.000130027
100621005	-2.40997451	0.009143673
100156429	-1.381532466	0.031994084
100154659	-2.847112472	0.001421672
396933	-1.382514818	0.054888721
100153443	-1.25892215	0.055089537
100154251	2.247171809	0.002116895
100154684	1.508371058	0.003107503
100152505	-1.324058591	0.010802796
100156934	19.29051432	4.03E-07
100155733	1.946407139	0.000314416
100525232	1.420183504	0.028206185
100154908	1.37131306	0.006873824
780411	1.300542965	0.015711537
100154070	-1.37247151	0.077602101
100156930	1.349982718	0.081010032
100154506	3.85018244	0.002386007
397410	3.876273304	9.81E-07
100622552	2.058805084	0.001091081
100152357	-1.916454765	0.034511891
100144486	7.50102578	0.000200513
100511141	-1.941185217	0.00015975
100152768	1.398318285	0.099792771
100626791	1.361392376	0.003330162
100155173	1.941980438	0.001109513
100154605	1.325721713	0.019992304
100153276	-1.438434745	0.062302508
100156057	-1.480402288	0.010591117
100153247	-1.606407894	0.007459165
100154479	1.907443441	0.006076619
